statefp,countyfp,HIVcount,state,stateabbreviation,county,countyfips,population,covidcases,coviddeaths,diabetescount,percdiabetes,heartdiseasedeathrate,HIVrate,HIVstability,HIVyear,pctuninsured,percentwhite,percentblack,pctunemployed,notes,hypertensiondeaths,hypertensiondeathrate,urbanicity2013,percentover65,cerebroandhypertensiondeaths,cerebroandhypertensiondeathrate,pm25,peroccgreaterthan1,socialdistance
1,1,108,Alabama,AL,Autauga County,1001,55869,19,1,4497,11.1,204.5,233.3, ,2017,.0836,76.900002,19.1,.035999998,,10,,3,13.526447,32,57.6,8.5480289,.01416055,4
1,3,305,Alabama,AL,Baldwin County,1003,223234,71,0,16824,10.7,183.2,169.5, ,2017,.1251,86.300003,9.5,.035999998,,48,22,4,18.307524,165,75.7,7.5224738,.012604615,3
1,5,92,Alabama,AL,Barbour County,1005,24686,10,0,3485,17.6,220.39999,429.10001, ,2017,.138,47.400002,47.599998,.052000001,,11,,6,16.227762,26,104.5,8.0858841,.034073591,4
1,7,39,Alabama,AL,Bibb County,1007,22394,16,0,2535,14.5,225.5,202.39999, ,2017,.0955,76.699997,22.299999,.039999999,,,,2,14.334371,17,,8.7467184,.0076023391,4
1,9,49,Alabama,AL,Blount County,1009,57826,13,0,7288,17,224.8,101.4, ,2017,.1323,95.5,1.5,.035,,15,,2,16.319841,28,48.4,8.2156744,.016456312,4
1,11,52,Alabama,AL,Bullock County,1011,10101,4,0,1915,23.7,214.3,603.59998, ,2017,.1249,22,76.199997,.046999998,,,,6,14.565168,10,,8.2313128,0,3
1,13,55,Alabama,AL,Butler County,1013,19448,7,0,2883,19.2,259.5,329.29999, ,2017,.1248,52,45.200001,.048,,11,,6,17.938879,24,122,7.8049388,.017740011,3
1,15,250,Alabama,AL,Calhoun County,1015,113605,60,0,15168,17.5,315.79999,257.5, ,2017,.1124,74.300003,20.6,.046999998,,18,,4,15.698808,112,98,9.015852,.017142985,4
1,17,126,Alabama,AL,Chambers County,1017,33254,200,8,5148,19.9,196.7,440.29999, ,2017,.1323,57.599998,39.400002,.039000001,,21,62.5,5,17.91044,27,80.3,8.162056,.0298905,4
1,19,31,Alabama,AL,Cherokee County,1019,26196,9,0,3056,15.2,267.39999,138.5, ,2017,.1054,92.800003,4.9000001,.035999998,,,,6,20.157576,15,,9.0810957,.014614369,4
1,21,48,Alabama,AL,Chilton County,1021,44428,30,0,6021,18.6,270.10001,131.3, ,2017,.1664,83.300003,9.3999996,.035999998,,,,2,14.811799,33,74.7,8.5003633,.027043162,4
1,23,26,Alabama,AL,Choctaw County,1023,12589,10,0,1761,17.4,270.20001,233.3, ,2017,.1462,56.700001,42.799999,.055,,,,6,20.355921,10,,7.6941772,.01364486,3
1,25,36,Alabama,AL,Clarke County,1025,23622,19,0,4123,22.4,234.7,175.89999, ,2017,.12909999,53,45.799999,.075000003,,,,6,17.665312,17,,7.8254027,.017845694,4
1,27,25,Alabama,AL,Clay County,1027,13235,14,0,1385,13.5,296.29999,218.2, ,2017,.1257,83,14.8,.039000001,,,,6,18.829649,10,,7.8520932,.0091673033,3
1,29,14,Alabama,AL,Cleburne County,1029,14910,12,0,1390,12.5,300.10001,112.1, ,2017,.15350001,94.199997,2.5999999,.041999999,,,,6,17.502388,12,,7.9566698,.0085574575,4
1,31,64,Alabama,AL,Coffee County,1031,52342,32,0,6099,16.1,219.5,148.60001, ,2017,.1204,75.900002,17.200001,.039000001,,12,,5,15.502755,26,50.1,7.9260831,.01374501,4
1,33,56,Alabama,AL,Colbert County,1033,55241,9,1,6732,16.2,261.29999,120.9, ,2017,.099299997,79.400002,15.8,.046,,20,36.5,4,18.404762,36,65.7,7.9907284,.0038075142,5
1,35,33,Alabama,AL,Conecuh County,1035,12067,5,0,2484,25.9,233.5,311.79999, ,2017,.1848,50.900002,47.700001,.052000001,,,,6,19.932962,12,,7.5794611,.010931351,4
1,37,18,Alabama,AL,Coosa County,1037,10663,18,0,1830,20.8,237,189.10001, ,2017,.096199997,65.699997,34.200001,.041999999,,,,5,19.523991,10,,8.3309927,.0090177916,3
1,39,50,Alabama,AL,Covington County,1039,37049,13,0,4345,15.3,262,159.8, ,2017,.13959999,84.699997,12.9,.046,,11,,6,19.461922,45,121.7,7.6654482,.021321962,4
1,41,24,Alabama,AL,Crenshaw County,1041,13772,3,0,1899,18.2,243.89999,206.39999, ,2017,.1207,71.699997,23.1,.041000001,,,,6,17.298838,14,,7.7143126,.0093532335,3
1,43,55,Alabama,AL,Cullman County,1043,83768,39,0,11984,19.3,230.60001,79.099998, ,2017,.14380001,95.199997,1.2,.033,,56,67.09999999999999,5,17.135004,68,81.5,8.1145926,.018060528,5
1,45,119,Alabama,AL,Dale County,1045,49172,8,0,5806,15.8,221.7,290.20001, ,2017,.13590001,72.900002,19.799999,.041999999,,16,,5,14.905131,33,67.40000000000001,7.9084125,.016764862,5
1,47,138,Alabama,AL,Dallas County,1047,37196,14,0,4635,15.9,308.10001,424.10001, ,2017,.1417,28.1,70.5,.064999998,,,,5,15.513,33,86.09999999999999,8.7510891,.031035749,4
1,49,54,Alabama,AL,DeKalb County,1049,71513,26,0,6691,12.8,279.89999,91.300003, ,2017,.1716,85.599998,1.4,.037999999,,21,29.4,6,15.318081,47,65.8,7.4235344,.028509108,5
1,51,176,Alabama,AL,Elmore County,1051,81209,33,0,9704,15.8,225.10001,256.60001, ,2017,.095899999,74.900002,21.4,.034000002,,40,48.8,3,13.365499,65,79.40000000000001,8.759017,.014480321,5
1,53,67,Alabama,AL,Escambia County,1053,36633,8,0,5339,18.8,233.5,215.89999, ,2017,.18880001,61.900002,31.9,.046,,14,,6,16.271341,38,103.4,7.6643696,.019958295,3
1,55,181,Alabama,AL,Etowah County,1055,102268,77,6,12216,15.7,292.29999,207.3, ,2017,.12710001,80.300003,15.7,.041000001,,66,64.40000000000001,4,17.072344,86,83.90000000000001,8.8431625,.011914278,4
1,57,13,Alabama,AL,Fayette County,1057,16302,4,0,2952,23.3,240,92.900002, ,2017,.1105,85,11.9,.041000001,,,,6,19.144152,20,121.7,7.9311662,.011371815,4
1,59,17,Alabama,AL,Franklin County,1059,31362,10,0,3413,14.8,259,65.400002, ,2017,.152,83.900002,4.4000001,.037,,,,6,15.802909,15,,6.7865992,.03264942,4
1,61,40,Alabama,AL,Geneva County,1061,26271,1,0,3411,16.9,233.7,179.2, ,2017,.1689,86.300003,9.5,.039000001,,,,4,18.617786,20,76,7.6428208,.019276649,4
1,63,33,Alabama,AL,Greene County,1063,8111,17,0,927,14.5,267.60001,470.89999, ,2017,.1427,17.1,79.699997,.067000002,,,,6,18.210312,,,8.2510433,.03113367,3
1,65,54,Alabama,AL,Hale County,1065,14651,15,0,1955,17.8,253.7,437.5, ,2017,.1064,39.599998,58.799999,.050999999,,,,4,16.801756,13,,8.3670263,.032166842,3
1,67,34,Alabama,AL,Henry County,1067,17205,11,0,2188,16.6,208.7,231.89999, ,2017,.1437,71.099998,27.700001,.044,,,,4,19.755795,11,,7.8324895,.007797271,3
1,69,339,Alabama,AL,Houston County,1069,105882,44,0,10518,13.5,195.60001,388.10001, ,2017,.1238,69.400002,26.9,.039999999,,28,26.7,4,15.819427,56,53.5,8.1266575,.012406695,5
1,71,36,Alabama,AL,Jackson County,1071,51626,25,2,6568,16.5,284.10001,81.300003, ,2017,.1179,91,3.5,.041000001,,18,,5,17.98933,50,96.59999999999999,7.8879189,.021623194,4
1,73,3551,Alabama,AL,Jefferson County,1073,658573,597,8,63588,12.9,190.89999,645.70001, ,2017,.111,51.900002,42.700001,.037,,176,26.7,1,14.116975,563,85.40000000000001,9.7050552,.015027365,4
1,75,15,Alabama,AL,Lamar County,1075,13805,8,0,2003,18.8,257.39999,127.1, ,2017,.1183,87.5,11.2,.037999999,,,,6,20.115492,,,7.5607653,.016739203,4
1,77,72,Alabama,AL,Lauderdale County,1077,92729,21,1,9834,13.8,219.7,90.300003, ,2017,.1111,87,10.1,.041999999,,21,22.7,4,18.063992,76,82.3,7.8757668,.012333178,4
1,79,25,Alabama,AL,Lawrence County,1079,32924,8,0,4878,19.3,253.7,89.199997, ,2017,.098099999,78.199997,10.9,.041999999,,14,,4,16.367186,23,69.8,7.7445083,.015221294,4
1,81,293,Alabama,AL,Lee County,1081,164542,236,6,10521,9,180.2,213.89999, ,2017,.089000002,70.300003,23,.035999998,,46,28.1,4,10.200815,82,50,8.60847,.031175788,3
1,83,119,Alabama,AL,Limestone County,1083,98915,37,0,9572,13.8,228.7,150.5, ,2017,.1115,80.800003,13.4,.035,,10,,3,13.595146,59,61.3,8.2626352,.018302932,4
1,85,49,Alabama,AL,Lowndes County,1085,9726,14,0,1072,13.9,230.8,578.20001, ,2017,.1114,24.9,74.300003,.072999999,,,,3,16.34515,18,,8.3303814,.016985646,3
1,87,83,Alabama,AL,Macon County,1087,18068,14,1,3354,23,277.10001,503.20001, ,2017,.097900003,15.9,82.599998,.055,,,,6,16.330086,20,108.5,8.6960173,.012963206,4
1,89,758,Alabama,AL,Madison County,1089,372909,187,3,36215,13.5,197.2,248.39999, ,2017,.1034,68.199997,24.1,.035,,191,52.1,3,13.384431,223,60.8,8.9424286,.013348847,4
1,91,29,Alabama,AL,Marengo County,1091,18863,21,1,2571,17.6,301.89999,178.60001, ,2017,.115,45.299999,53.799999,.050000001,,,,6,17.759466,16,,8.1763601,.0073377965,4
1,93,29,Alabama,AL,Marion County,1093,29709,52,2,4701,20.4,299,113.9, ,2017,.13169999,93.099998,3.7,.041000001,,,,6,19.648457,21,70.59999999999999,7.234611,.021781854,5
1,95,104,Alabama,AL,Marshall County,1095,96774,99,1,8181,11.8,262.39999,132.8, ,2017,.1551,92.400002,2.5999999,.034000002,,24,25,5,15.826534,78,81.2,7.9857178,.0261348,5
1,97,1779,Alabama,AL,Mobile County,1097,413210,454,9,42939,14,231.5,516.70001, ,2017,.1358,58.799999,35.599998,.046999998,,146,35.3,3,14.242821,309,74.7,7.8830161,.019944683,4
1,99,33,Alabama,AL,Monroe County,1099,20733,6,0,2970,18.4,183.7,182.10001, ,2017,.1618,54.900002,41.5,.061999999,,21,99.7,6,17.442856,36,170.9,7.6631794,.0062584365,3
1,101,1412,Alabama,AL,Montgomery County,1101,226486,120,1,23158,13.9,179.7,751, ,2017,.1221,36.5,57.700001,.039999999,,104,46.1,3,13.118271,213,94.3,9.4511452,.018378139,4
1,103,136,Alabama,AL,Morgan County,1103,119679,39,0,11341,12.7,243.2,136.60001, ,2017,.1214,80.599998,12.8,.035,,23,19.3,4,15.505591,72,60.5,8.333293,.024054682,5
1,105,24,Alabama,AL,Perry County,1105,8923,6,0,1089,15.8,277.10001,304.29999, ,2017,.1548,29.9,69.400002,.064999998,,,,6,17.682632,,,8.4333096,.026307242,3
1,107,47,Alabama,AL,Pickens County,1107,19930,22,0,2356,15,243.89999,270.60001, ,2017,.1052,56,41.200001,.046,,,,4,17.668039,16,,7.8714256,.012217795,2
1,109,98,Alabama,AL,Pike County,1109,33114,20,0,3062,12.3,197.39999,340.29999, ,2017,.1113,56.799999,38,.045000002,,,,5,13.735747,19,,7.8516893,.015501862,4
1,111,10,Alabama,AL,Randolph County,1111,22722,36,2,2813,16.5,305.5,51.900002, ,2017,.1305,77.300003,20.1,.039999999,,,,6,18.593763,11,,8.0971279,.029272243,4
1,113,184,Alabama,AL,Russell County,1113,57961,24,0,8088,19,207.39999,392.70001, ,2017,.1549,50.299999,42.900002,.039999999,,33,57.1,3,12.945222,43,74.40000000000001,8.6654215,.031354442,4
1,115,114,Alabama,AL,St. Clair County,1115,89512,42,0,9033,13.8,235.39999,155.10001, ,2017,.1049,87.300003,9.5,.035,,26,29.3,2,14.691731,47,53,8.7873888,.008609971,5
1,117,298,Alabama,AL,Shelby County,1117,217702,213,5,16295,10.5,162.2,167.2, ,2017,.0788,80.300003,12,.028999999,,26,12.1,2,12.624723,136,63,9.2463036,.011170973,4
1,119,39,Alabama,AL,Sumter County,1119,12427,20,0,1997,20.5,223.3,354.10001, ,2017,.1833,24.700001,72,.059,,,,6,15.901303,11,,7.9937105,.012878938,3
1,121,182,Alabama,AL,Talladega County,1121,79978,34,0,9962,16.3,245.89999,267.20001, ,2017,.1116,64.199997,32.299999,.043000001,,25,31.3,5,15.6884,64,80.2,9.278203,.012958894,5
1,123,73,Alabama,AL,Tallapoosa County,1123,40367,99,2,4973,15.9,227.10001,211.39999, ,2017,.1004,69.5,27.4,.041999999,,,,6,19.025074,26,64.2,8.3167543,.030155642,4
1,125,466,Alabama,AL,Tuscaloosa County,1125,209355,119,0,18158,11.9,221.39999,264.79999, ,2017,.083999999,64.400002,31.6,.037,,70,33.5,4,11.71089,123,58.9,9.1106062,.016344519,4
1,127,71,Alabama,AL,Walker County,1127,63521,83,0,6921,14.2,370.39999,131.89999, ,2017,.134,90.800003,6.1999998,.041999999,,27,42.4,2,17.549904,50,78.5,8.8523703,.019651702,4
1,129,12,Alabama,AL,Washington County,1129,16326,12,1,2069,16.6,238.60001,85.599998, ,2017,.1166,66.099998,24.6,.057999998,,,,6,16.557453,14,,7.5493555,.030963875,2
1,131,26,Alabama,AL,Wilcox County,1131,10373,30,0,1571,19.9,325.10001,290.70001, ,2017,.14030001,26.9,69.5,.096000001,,,,6,16.806812,14,,8.3039961,.0094637219,2
1,133,8,Alabama,AL,Winston County,1133,23629,4,0,3595,19.5,228.8,39.299999, ,2017,.15440001,96.300003,.40000001,.041999999,,17,,6,19.564587,17,,7.572391,.010634904,4
2,13,,Alaska,AK,Aleutians East Borough,2013,3337,0,0,374,12.6,57.900002,, ,2017,.49450001,17.700001,4.1999998,.029999999,,,,6,7.0623713,,,,.025581395,
2,16,,Alaska,AK,Aleutians West Census Area,2016,5634,0,0,487,9.800000000000001,84.5,, ,2017,.19310001,29.5,4.3000002,.035,,,,6,4.9835906,,,,.10629252,3
2,20,,Alaska,AK,Anchorage Municipality,2020,288000,127,4,16977,7.8,134,, ,2017,.1346,63,5.5999999,.055,,43,14.7,3,8.7028389,99,34,,.045182306,3
2,50,,Alaska,AK,Bethel Census Area,2050,18386,1,0,669,6.1,171,, ,2017,.2216,11,.69999999,.12800001,,,,6,6.6009712,,,,.3538833,3
2,60,,Alaska,AK,Bristol Bay Borough,2060,836,0,0,106,14.9,,, ,2017,.2139,56.299999,.40000001,.063000001,,,,6,10.428216,,,,.045045044,
2,68,,Alaska,AK,Denali Borough,2068,2097,0,0,80,4.9,155.89999,, ,2017,.2077,81.099998,.80000001,.078000002,,,,6,8.8727551,,,,.023474179,
2,70,,Alaska,AK,Dillingham Census Area,2070,4916,0,0,336,10.3,242,, ,2017,.242,17.6,1.3,.082000002,,,,6,8.1422548,,,,.22957747,
2,90,,Alaska,AK,Fairbanks North Star Borough,2090,96849,79,2,4594,6.2,154.5,, ,2017,.1108,75.5,4.5,.057999998,,13,,4,7.953783,39,39.4,,.059102237,2
2,100,,Alaska,AK,Haines Borough,2100,2530,0,0,152,7.4,169,, ,2017,.1859,81,0,.094999999,,,,6,17.174187,,,,.078947365,
2,105,,Alaska,AK,Hoonah-Angoon Census Area,2105,2148,0,0,243,14.4,,, ,2017,.30720001,45.5,3.2,.126,,,,6,17.35799,,,,.033792242,
2,110,,Alaska,AK,Juneau City and Borough,2110,31974,16,0,1589,6.5,169,, ,2017,.1226,68.599998,1,.044,,,,5,10.30836,10,,,.044325534,2
2,122,,Alaska,AK,Kenai Peninsula Borough,2122,58708,15,1,3679,8.4,154.89999,, ,2017,.2031,83.300003,.60000002,.077,,12,,6,13.688554,26,44.4,,.044570167,3
2,130,,Alaska,AK,Ketchikan Gateway Borough,2130,13901,15,0,956,9.199999999999999,171.60001,, ,2017,.1525,66.800003,.69999999,.059999999,,,,5,12.22866,,,,.043739442,1
2,150,,Alaska,AK,Kodiak Island Borough,2150,12998,0,0,780,8,115.2,, ,2017,.21879999,53.400002,.30000001,.057999998,,,,6,8.1496439,,,,.09124171,1
2,158,,Alaska,AK,Kusilvak Census Area,2158,8314,0,0,214,4.7,,, ,2017,.22139999,3.9000001,.69999999,.199,,,,6,5.5504346,,,,.4934988,2
2,164,,Alaska,AK,Lake and Peninsula Borough,2164,1592,0,0,106,9.5,235.3,, ,2017,.34200001,22.799999,.69999999,.116,,,,6,9.0756674,,,,.07764706,
2,170,,Alaska,AK,Matanuska-Susitna Borough,2170,108317,14,0,6372,8.699999999999999,131,, ,2017,.1684,83.099998,1.1,.075999998,,,,3,9.4418402,37,34.4,,.050487388,3
2,180,,Alaska,AK,Nome Census Area,2180,10004,0,0,457,7.4,189,, ,2017,.2429,16.1,.89999998,.116,,,,6,6.923377,,,,.30469567,1
2,185,,Alaska,AK,North Slope Borough,2185,9832,0,0,532,7.6,207.60001,, ,2017,.2226,31.6,.89999998,.07,,,,6,5.3343239,,,,.31790438,2
2,188,,Alaska,AK,Northwest Arctic Borough,2188,7621,0,0,505,10.8,201.10001,, ,2017,.29769999,11.1,1.1,.142,,,,6,6.6934404,,,,.3580645,2
2,195,,Alaska,AK,Petersburg Borough,2195,3266,2,1,205,8.199999999999999,,, ,2017,.1144,72.099998,.69999999,.086999997,,,,6,14.49367,,,,.029914532,
2,198,,Alaska,AK,Prince of Wales-Hyder Census Area,2198,6203,1,0,656,13.6,,, ,2017,.30140001,47.200001,.40000001,.109,,,,6,12.543133,,,,.059847198,2
2,220,,Alaska,AK,Sitka City and Borough,2220,8493,0,0,525,7.9,156.5,, ,2017,.21340001,64.699997,1.2,.041999999,,,,6,12.848604,,,,.02583544,1
